Timestamp (S),Arc Main Current (A),Arc Main Voltage (V),Arc Main Energy (J)
6.57075,0.000640224,,0.03296307
6.571,0.000711972,2.969,0.03296359
6.57125,0.001016803,,0.03296435
6.5715,0.001253336,,0.03296528
6.57175,0.001519188,,0.03296641
6.572,0.001779686,2.969,0.03296773
6.57225,0.001994869,,0.03296922
6.5725,0.002133174,,0.03297081
6.57275,0.002137748,,0.03297241
6.573,0.002042666,2.987,0.03297393
6.57325,0.001928137,,0.03297538
6.5735,0.001821309,,0.03297675
6.57375,0.001735467,,0.03297805
6.574,0.001679958,3.006,0.03297932
6.57425,0.001679014,,0.03298058
6.5745,0.001713457,,0.03298188
6.57475,0.001740217,,0.03298319
6.575,0.001731077,3.019,0.0329845
6.57525,0.00154124,,0.03298566
6.5755,0.001371169,,0.0329867
6.57575,0.00118128,,0.03298759
6.576,0.000998898,3.025,0.03298835
6.57625,0.000725226,,0.03298889
6.5765,0.000650901,,0.03298939
6.57675,0.000616135,,0.03298985
6.577,0.00060887,3.014,0.03299031
6.57725,0.000618835,,0.03299077
6.5775,0.000624748,,0.03299124
6.57775,0.000636973,,0.03299171
6.578,0.0006608,2.984,0.0329922
6.57825,0.00070799,,0.03299273
6.5785,0.000947357,,0.03299343
6.57875,0.001155549,,0.03299429
6.579,0.001404255,2.97,0.03299533
6.57925,0.001657488,,0.03299657
6.5795,0.001871204,,0.03299797
6.57975,0.002007876,,0.03299947
6.58,0.002051033,2.986,0.033001
6.58025,0.001904005,,0.03300243
6.5805,0.001768785,,0.03300376
6.58075,0.001633708,,0.03300498
6.581,0.001529153,3.003,0.03300613
6.58125,0.00149405,,0.03300726
6.5815,0.001547789,,0.03300842
6.58175,0.001606729,,0.03300964
6.582,0.001632896,3.017,0.03301087
6.58225,0.001500471,,0.033012
6.5825,0.001349894,,0.03301302
6.58275,0.001174038,,0.03301391
6.583,0.001000431,3.024,0.03301467
6.58325,0.000730294,,0.03301522
6.5835,0.0006443,,0.0330157
6.58375,0.000587467,,0.03301615
6.584,0.000549901,3.015,0.03301656
6.58425,0.000510698,,0.03301694
6.5845,0.000509246,,0.03301732
6.58475,0.000523027,,0.03301771
6.585,0.000548772,2.992,0.03301812
6.58525,0.000591074,,0.03301856
6.5855,0.000663088,,0.03301905
6.58575,0.00078511,,0.03301964
6.586,0.000969528,2.966,0.03302036
6.58625,0.001479496,,0.03302146
6.5865,0.001738414,,0.03302275
6.58675,0.001944941,,0.0330242
6.587,0.00207011,2.98,0.03302574
6.58725,0.002063063,,0.03302729
6.5875,0.001962091,,0.03302876
6.58775,0.001834165,,0.03303014
6.588,0.001718022,2.999,0.03303143
6.58825,0.001642188,,0.03303266
6.5885,0.00168159,,0.03303393
6.58875,0.001735187,,0.03303524
6.589,0.001766977,3.014,0.03303657
6.58925,0.001678316,,0.03303784
6.5895,0.001558267,,0.03303902
6.58975,0.001409978,,0.03304008
6.59,0.001252686,3.024,0.03304103
6.59025,0.000968422,,0.03304176
6.5905,0.000854087,,0.0330424
6.59075,0.000757691,,0.03304298
6.591,0.000677002,3.019,0.03304349
6.59125,0.00061128,,0.03304395
6.5915,0.000564665,,0.03304437
6.59175,0.000545929,,0.03304478
6.592,0.000562994,3.003,0.0330452
6.59225,0.000586955,,0.03304564
6.5925,0.000621982,,0.0330461
6.59275,0.000685829,,0.03304661
6.593,0.000798612,2.969,0.0330472
6.59325,0.001194254,,0.03304809
6.5935,0.001447767,,0.03304917
6.59375,0.001694641,,0.03305043
6.594,0.001896802,2.978,0.03305184
6.59425,0.002060158,,0.03305339
6.5945,0.002011198,,0.03305489
6.59475,0.001900717,,0.03305632
6.595,0.001770997,2.996,0.03305764
6.59525,0.001614127,,0.03305886
6.5955,0.001609425,,0.03306007
6.59575,0.001631316,,0.0330613
6.596,0.00165334,3.012,0.03306254
6.59625,0.00162601,,0.03306377
6.5965,0.001563487,,0.03306495
6.59675,0.001470769,,0.03306606
6.597,0.001352514,3.022,0.03306708
6.59725,0.001068397,,0.03306789
6.5975,0.00092285,,0.03306859
6.59775,0.000789163,,0.03306919
6.598,0.000677419,3.023,0.0330697
6.59825,0.000595103,,0.03307015
6.5985,0.000549038,,0.03307056
6.59875,0.000539751,,0.03307097
6.599,0.000557485,3.01,0.03307138
6.59925,0.000592479,,0.03307183
6.5995,0.000592502,,0.03307227
6.59975,0.000594059,,0.03307271
6.6,0.000622034,2.974,0.03307317
6.60025,0.000846926,,0.0330738
6.6005,0.001059717,,0.03307459
6.60075,0.001318436,,0.03307557
6.601,0.001586323,2.972,0.03307674
6.60125,0.001974577,,0.03307822
6.6015,0.002033887,,0.03307974
6.60175,0.002000469,,0.03308124
6.602,0.001904295,2.99,0.03308266
6.60225,0.001694195,,0.03308393
6.6025,0.001630182,,0.03308516
6.60275,0.001599022,,0.03308636
6.603,0.001596873,3.007,0.03308756
6.60325,0.001639886,,0.0330888
6.6035,0.001652173,,0.03309005
6.60375,0.0016331,,0.03309128
6.604,0.001568997,3.019,0.03309246
6.60425,0.001454207,,0.03309356
6.6045,0.001300849,,0.03309455
6.60475,0.001127569,,0.0330954
6.605,0.000958447,3.024,0.03309612
6.60525,0.000702585,,0.03309665
6.6055,0.000631634,,0.03309713
6.60575,0.000598377,,0.03309758
6.606,0.00059179,3.014,0.03309803
6.60625,0.000598913,,0.03309847
6.6065,0.000599469,,0.03309892
6.60675,0.000602781,,0.03309937
6.607,0.000618911,2.983,0.03309983
6.60725,0.000744949,,0.03310038
6.6075,0.000888274,,0.03310104
6.60775,0.001094051,,0.03310185
6.608,0.001346881,2.97,0.03310285
6.60825,0.001847415,,0.03310423
6.6085,0.002011355,,0.03310574
6.60875,0.002082206,,0.03310729
6.609,0.002063675,2.987,0.03310883
6.60925,0.00186578,,0.03311023
6.6095,0.001745124,,0.03311154
6.60975,0.001643161,,0.03311278
6.61,0.001580704,3.004,0.03311397
6.61025,0.001565623,,0.03311515
6.6105,0.001587595,,0.03311634
6.61075,0.001620928,,0.03311757
6.611,0.001607023,3.018,0.03311878
6.61125,0.001526486,,0.03311993
6.6115,0.001402319,,0.03312099
6.61175,0.00125112,,0.03312194
6.612,0.001093667,3.025,0.03312277
6.61225,0.000811652,,0.03312338
6.6125,0.000700298,,0.03312391
6.61275,0.000611674,,0.03312437
6.613,0.00054656,3.016,0.03312478
